Frame 0: ('doctor', 'heals', 'patient') → REJECTED (A↔B)
Frame 180: ('duck', 'swims_with', 'ducklings') → ACCEPTED (A↔B) [simple]
Frame 180: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 181: ('speaker', 'projects', 'sound') → ACCEPTED (A↔B) [simple]
Frame 181: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 181: ('fan', 'spins_on', 'ceiling') → ACCEPTED (A↔B) [simple]
Frame 181: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 181: ('fire', 'burns', 'wood') → ACCEPTED (A↔B) [simple]
Frame 182: ('duck', 'swims_with', 'ducklings') → ACCEPTED (A↔B) [simple]
Frame 182: ('farmer', 'plants', 'seeds') → ACCEPTED (A↔B) [simple]
Frame 182: ('bus', 'picks_up', 'passengers') → ACCEPTED (A↔B) [simple]
Frame 182: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 182: ('sheep', 'eats', 'grass') → ACCEPTED (A↔B) [simple]
Frame 183: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 183: ('rocket', 'blasts_into', 'space') → ACCEPTED (A↔B) [simple]
Frame 183: ('sheep', 'eats', 'grass') → ACCEPTED (A↔B) [simple]
Frame 183: ('mother', 'feeds', 'baby') → ACCEPTED (A↔B) [simple]
Frame 183: ('fan', 'spins_on', 'ceiling') → ACCEPTED (A↔B) [simple]
Frame 184: ('fog', 'spreads_over', 'lake') → ACCEPTED (A↔B) [simple]
Frame 184: ('mouse', 'hides_under', 'table') → REJECTED (A↔B)
Frame 184: ('guard', 'protects', 'gate') → ACCEPTED (A↔B) [simple]
Frame 184: ('guard', 'protects', 'gate') → ACCEPTED (A↔B) [simple]
Frame 184: ('artist', 'draws', 'picture') → REJECTED (A↔B)
Frame 185: ('child', 'plays_with', 'toy') → REJECTED (A↔B)
Frame 185: ('6', 'plus', '2', 'equals', '8') → REJECTED (A↔B)
Frame 185: ('music', 'plays_on', 'radio') → ACCEPTED (A↔B) [simple]
Frame 185: ('boat', 'sails_on', 'lake') → REJECTED (A↔B)
Frame 185: ('fire', 'burns', 'wood') → ACCEPTED (A↔B) [simple]
Frame 186: ('bird', 'flies_over', 'mountain') → REJECTED (A↔B)
Frame 186: ('3', 'plus', '2', 'equals', '5') → REJECTED (A↔B)
Frame 186: ('engineer', 'builds', 'tower') → REJECTED (A↔B)
Frame 186: ('moon', 'rises_above', 'trees') → REJECTED (A↔B)
Frame 186: ('2', 'plus', '2', 'equals', '4') → REJECTED (A↔B)
Frame 187: ('eagle', 'spots', 'mouse') → ACCEPTED (A↔B) [simple]
Frame 187: ('guard', 'protects', 'gate') → ACCEPTED (A↔B) [simple]
Frame 187: ('farmer', 'plants', 'seeds') → ACCEPTED (A↔B) [simple]
Frame 187: ('music', 'plays_on', 'radio') → ACCEPTED (A↔B) [simple]
Frame 187: ('rocket', 'blasts_into', 'space') → ACCEPTED (A↔B) [simple]
Frame 188: ('frog', 'leaps_into', 'pond') → ACCEPTED (A↔B) [simple]
Frame 188: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 188: ('frog', 'leaps_into', 'pond') → ACCEPTED (A↔B) [simple]
Frame 188: ('candle', 'glows_in', 'dark') → ACCEPTED (A↔B) [simple]
Frame 188: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 189: ('flower', 'opens', 'petals') → REJECTED (A↔B)
Frame 189: ('child', 'pets', 'dog') → REJECTED (A↔B)
Frame 189: ('moon', 'rises_above', 'trees') → REJECTED (A↔B)
Frame 189: ('bird', 'builds', 'nest') → REJECTED (A↔B)
Frame 189: ('flower', 'opens', 'petals') → REJECTED (A↔B)
Frame 190: ('ice', 'melts_on', 'plate') → REJECTED (A↔B)
Frame 190: ('eagle', 'spots', 'mouse') → ACCEPTED (A↔B) [simple]
Frame 190: ('thunder', 'echoes_through', 'mountains') → REJECTED (A↔B)
Frame 190: ('plane', 'flies_above', 'city') → REJECTED (A↔B)
Frame 190: ('child', 'draws_on', 'paper') → REJECTED (A↔B)
Frame 191: ('hammer', 'hits', 'nail') → REJECTED (A↔B)
Frame 191: ('mother', 'feeds', 'baby') → ACCEPTED (A↔B) [simple]
Frame 191: ('child', 'draws_on', 'paper') → REJECTED (A↔B)
Frame 191: ('speaker', 'projects', 'sound') → ACCEPTED (A↔B) [simple]
Frame 191: ('bee', 'lands_on', 'flower') → REJECTED (A↔B)
Frame 192: ('bird', 'builds', 'nest') → REJECTED (A↔B)
Frame 192: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 192: ('2', 'plus', '2', 'equals', '4') → REJECTED (A↔B)
Frame 192: ('sheep', 'eats', 'grass') → ACCEPTED (A↔B) [simple]
Frame 192: ('6', 'plus', '2', 'equals', '8') → REJECTED (A↔B)
Frame 193: ('5', 'times', '2', 'equals', '10') → REJECTED (A↔B)
Frame 193: ('seed', 'grows_into', 'plant') → ACCEPTED (A↔B) [simple]
Frame 193: ('nurse', 'cares_for', 'child') → REJECTED (A↔B)
Frame 193: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 193: ('drum', 'beats', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 194: ('10', 'divided_by', '2', 'equals', '5') → REJECTED (A↔B)
Frame 194: ('owl', 'watches_from', 'tree') → REJECTED (A↔B)
Frame 194: ('rocket', 'blasts_into', 'space') → ACCEPTED (A↔B) [simple]
Frame 194: ('fire', 'burns', 'wood') → ACCEPTED (A↔B) [simple]
Frame 194: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 195: ('clouds', 'gather_over', 'valley') → REJECTED (A↔B)
Frame 195: ('6', 'divided_by', '3', 'equals', '2') → REJECTED (A↔B)
Frame 195: ('fox', 'hides_in', 'bush') → ACCEPTED (A↔B) [simple]
Frame 195: ('engineer', 'builds', 'tower') → REJECTED (A↔B)
Frame 195: ('3', 'plus', '2', 'equals', '5') → REJECTED (A↔B)
Frame 196: ('clock', 'ticks', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 196: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 196: ('fan', 'spins_on', 'ceiling') → ACCEPTED (A↔B) [simple]
Frame 196: ('rocket', 'blasts_into', 'space') → ACCEPTED (A↔B) [simple]
Frame 196: ('lightning', 'flashes_in', 'sky') → ACCEPTED (A↔B) [simple]
Frame 197: ('drum', 'beats', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 197: ('fog', 'spreads_over', 'lake') → ACCEPTED (A↔B) [simple]
Frame 197: ('eagle', 'spots', 'mouse') → ACCEPTED (A↔B) [simple]
Frame 197: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 197: ('duck', 'swims_with', 'ducklings') → ACCEPTED (A↔B) [simple]
Frame 198: ('fan', 'spins_on', 'ceiling') → ACCEPTED (A↔B) [simple]
Frame 198: ('musician', 'plays', 'instrument') → ACCEPTED (A↔B) [simple]
Frame 198: ('fog', 'spreads_over', 'lake') → ACCEPTED (A↔B) [simple]
Frame 198: ('bus', 'picks_up', 'passengers') → ACCEPTED (A↔B) [simple]
Frame 198: ('seed', 'grows_into', 'plant') → ACCEPTED (A↔B) [simple]
Frame 199: ('eagle', 'spots', 'mouse') → ACCEPTED (A↔B) [simple]
Frame 199: ('phone', 'rings', 'loudly') → REJECTED (A↔B)
Frame 199: ('sheep', 'eats', 'grass') → ACCEPTED (A↔B) [simple]
Frame 199: ('camera', 'captures', 'image') → REJECTED (A↔B)
Frame 199: ('bird', 'flies_over', 'mountain') → REJECTED (A↔B)
Frame 200: ('horse', 'pulls', 'cart') → REJECTED (A↔B)
Frame 200: ('light', 'enters', 'window') → REJECTED (A↔B)
Frame 200: ('fish', 'swims_in', 'river') → REJECTED (A↔B)
Frame 200: ('ant', 'crawls_under', 'rock') → REJECTED (A↔B)
Frame 200: ('airplane', 'carries', 'passenger') → ACCEPTED (A↔B) [simple]
Frame 201: ('duck', 'swims_with', 'ducklings') → ACCEPTED (A↔B) [simple]
Frame 201: ('fire', 'burns', 'wood') → ACCEPTED (A↔B) [simple]
Frame 201: ('frog', 'leaps_into', 'pond') → ACCEPTED (A↔B) [simple]
Frame 201: ('child', 'draws_on', 'paper') → REJECTED (A↔B)
Frame 201: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 202: ('fan', 'spins_on', 'ceiling') → ACCEPTED (A↔B) [simple]
Frame 202: ('seed', 'grows_into', 'plant') → ACCEPTED (A↔B) [simple]
Frame 202: ('drum', 'beats', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 202: ('airplane', 'carries', 'passenger') → ACCEPTED (A↔B) [simple]
Frame 202: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 203: ('child', 'jumps_over', 'log') → REJECTED (A↔B)
Frame 203: ('dog', 'barks_at', 'stranger') → REJECTED (A↔B)
Frame 203: ('drum', 'beats', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 203: ('worker', 'paints', 'house') → REJECTED (A↔B)
Frame 203: ('hammer', 'hits', 'nail') → REJECTED (A↔B)
Frame 204: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 204: ('clock', 'ticks', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 204: ('guard', 'protects', 'gate') → ACCEPTED (A↔B) [simple]
Frame 204: ('musician', 'plays', 'instrument') → ACCEPTED (A↔B) [simple]
Frame 204: ('duck', 'swims_with', 'ducklings') → ACCEPTED (A↔B) [simple]
Frame 205: ('speaker', 'projects', 'sound') → ACCEPTED (A↔B) [simple]
Frame 205: ('frog', 'leaps_into', 'pond') → ACCEPTED (A↔B) [simple]
Frame 205: ('fog', 'spreads_over', 'lake') → ACCEPTED (A↔B) [simple]
Frame 205: ('fan', 'spins_on', 'ceiling') → ACCEPTED (A↔B) [simple]
Frame 205: ('clock', 'ticks', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 206: ('fox', 'hides_in', 'bush') → ACCEPTED (A↔B) [simple]
Frame 206: ('frog', 'leaps_into', 'pond') → ACCEPTED (A↔B) [simple]
Frame 206: ('mother', 'feeds', 'baby') → ACCEPTED (A↔B) [simple]
Frame 206: ('seed', 'grows_into', 'plant') → ACCEPTED (A↔B) [simple]
Frame 206: ('speaker', 'projects', 'sound') → ACCEPTED (A↔B) [simple]
Frame 207: ('eagle', 'spots', 'mouse') → ACCEPTED (A↔B) [simple]
Frame 207: ('fire', 'burns', 'wood') → ACCEPTED (A↔B) [simple]
Frame 207: ('musician', 'plays', 'instrument') → ACCEPTED (A↔B) [simple]
Frame 207: ('sheep', 'eats', 'grass') → ACCEPTED (A↔B) [simple]
Frame 207: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 208: ('hammer', 'hits', 'nail') → REJECTED (A↔B)
Frame 208: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 208: ('student', 'solves', 'problem') → REJECTED (A↔B)
Frame 208: ('teacher', 'writes_on', 'board') → REJECTED (A↔B)
Frame 208: ('musician', 'plays', 'instrument') → ACCEPTED (A↔B) [simple]
Frame 209: ('farmer', 'plants', 'seeds') → ACCEPTED (A↔B) [simple]
Frame 209: ('fan', 'spins_on', 'ceiling') → ACCEPTED (A↔B) [simple]
Frame 209: ('eagle', 'spots', 'mouse') → ACCEPTED (A↔B) [simple]
Frame 209: ('bus', 'picks_up', 'passengers') → ACCEPTED (A↔B) [simple]
Frame 209: ('fan', 'spins_on', 'ceiling') → ACCEPTED (A↔B) [simple]
Frame 210: ('2', 'plus', '5', 'equals', '7') → REJECTED (A↔B)
Frame 210: ('child', 'jumps_over', 'log') → REJECTED (A↔B)
Frame 210: ('bus', 'waits_at', 'stop') → REJECTED (A↔B)
Frame 210: ('wind', 'howls', 'through', 'trees') → REJECTED (A↔B)
Frame 210: ('teacher', 'teaches', 'student') → REJECTED (A↔B)
Frame 211: ('6', 'divided_by', '3', 'equals', '2') → REJECTED (A↔B)
Frame 211: ('sun', 'shines_on', 'earth') → REJECTED (A↔B)
Frame 211: ('camera', 'captures', 'image') → REJECTED (A↔B)
Frame 211: ('sheep', 'eats', 'grass') → ACCEPTED (A↔B) [simple]
Frame 211: ('mother', 'feeds', 'baby') → ACCEPTED (A↔B) [simple]
Frame 212: ('bus', 'picks_up', 'passengers') → ACCEPTED (A↔B) [simple]
Frame 212: ('fan', 'spins_on', 'ceiling') → ACCEPTED (A↔B) [simple]
Frame 212: ('bus', 'picks_up', 'passengers') → ACCEPTED (A↔B) [simple]
Frame 212: ('musician', 'plays', 'instrument') → ACCEPTED (A↔B) [simple]
Frame 212: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 213: ('rain', 'taps_on', 'roof') → REJECTED (A↔B)
Frame 213: ('engineer', 'builds', 'tower') → REJECTED (A↔B)
Frame 213: ('snow', 'covers', 'road') → REJECTED (A↔B)
Frame 213: ('farmer', 'plants', 'seeds') → ACCEPTED (A↔B) [simple]
Frame 213: ('fire', 'burns', 'wood') → ACCEPTED (A↔B) [simple]
Frame 214: ('student', 'solves', 'problem') → REJECTED (A↔B)
Frame 214: ('airplane', 'carries', 'passenger') → ACCEPTED (A↔B) [simple]
Frame 214: ('fog', 'spreads_over', 'lake') → ACCEPTED (A↔B) [simple]
Frame 214: ('child', 'pets', 'dog') → REJECTED (A↔B)
Frame 214: ('leaf', 'floats_on', 'pond') → ACCEPTED (A↔B) [simple]
Frame 215: ('9', 'minus', '5', 'equals', '4') → REJECTED (A↔B)
Frame 215: ('train', 'arrives_at', 'station') → REJECTED (A↔B)
Frame 215: ('artist', 'draws', 'picture') → REJECTED (A↔B)
Frame 215: ('fire', 'burns', 'wood') → ACCEPTED (A↔B) [simple]
Frame 215: ('ant', 'crawls_under', 'rock') → REJECTED (A↔B)
Frame 216: ('6', 'plus', '2', 'equals', '8') → REJECTED (A↔B)
Frame 216: ('child', 'loves', 'parent') → REJECTED (A↔B)
Frame 216: ('engine', 'drives', 'vehicle') → REJECTED (A↔B)
Frame 216: ('bus', 'waits_at', 'stop') → REJECTED (A↔B)
Frame 216: ('4', 'plus', '5', 'equals', '9') → REJECTED (A↔B)
Frame 217: ('bee', 'lands_on', 'flower') → REJECTED (A↔B)
Frame 217: ('bee', 'lands_on', 'flower') → REJECTED (A↔B)
Frame 217: ('phone', 'rings', 'loudly') → REJECTED (A↔B)
Frame 217: ('bird', 'builds', 'nest') → REJECTED (A↔B)
Frame 217: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 218: ('guard', 'protects', 'gate') → ACCEPTED (A↔B) [simple]
Frame 218: ('rocket', 'blasts_into', 'space') → ACCEPTED (A↔B) [simple]
Frame 218: ('speaker', 'projects', 'sound') → ACCEPTED (A↔B) [simple]
Frame 218: ('airplane', 'carries', 'passenger') → ACCEPTED (A↔B) [simple]
Frame 218: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 219: ('bus', 'picks_up', 'passengers') → ACCEPTED (A↔B) [simple]
Frame 219: ('rocket', 'blasts_into', 'space') → ACCEPTED (A↔B) [simple]
Frame 219: ('guard', 'protects', 'gate') → ACCEPTED (A↔B) [simple]
Frame 219: ('speaker', 'projects', 'sound') → ACCEPTED (A↔B) [simple]
Frame 219: ('music', 'plays_on', 'radio') → ACCEPTED (A↔B) [simple]
Frame 220: ('drum', 'beats', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 220: ('clock', 'ticks', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 220: ('bus', 'picks_up', 'passengers') → ACCEPTED (A↔B) [simple]
Frame 220: ('duck', 'swims_with', 'ducklings') → ACCEPTED (A↔B) [simple]
Frame 220: ('candle', 'glows_in', 'dark') → ACCEPTED (A↔B) [simple]
Frame 221: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 221: ('fog', 'spreads_over', 'lake') → ACCEPTED (A↔B) [simple]
Frame 221: ('candle', 'glows_in', 'dark') → ACCEPTED (A↔B) [simple]
Frame 221: ('music', 'plays_on', 'radio') → ACCEPTED (A↔B) [simple]
Frame 221: ('lightning', 'flashes_in', 'sky') → ACCEPTED (A↔B) [simple]
Frame 222: ('car', 'stops_at', 'light') → REJECTED (A↔B)
Frame 222: ('car', 'stops_at', 'light') → REJECTED (A↔B)
Frame 222: ('7', 'minus', '4', 'equals', '3') → REJECTED (A↔B)
Frame 222: ('bee', 'buzzes_around', 'flower') → REJECTED (A↔B)
Frame 222: ('rocket', 'blasts_into', 'space') → ACCEPTED (A↔B) [simple]
Frame 223: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 223: ('duck', 'swims_with', 'ducklings') → ACCEPTED (A↔B) [simple]
Frame 223: ('fan', 'spins_on', 'ceiling') → ACCEPTED (A↔B) [simple]
Frame 223: ('duck', 'swims_with', 'ducklings') → ACCEPTED (A↔B) [simple]
Frame 223: ('frog', 'leaps_into', 'pond') → ACCEPTED (A↔B) [simple]
Frame 224: ('lightning', 'flashes_in', 'sky') → ACCEPTED (A↔B) [simple]
Frame 224: ('mother', 'feeds', 'baby') → ACCEPTED (A↔B) [simple]
Frame 224: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 224: ('music', 'plays_on', 'radio') → ACCEPTED (A↔B) [simple]
Frame 224: ('clock', 'ticks', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 225: ('fan', 'spins_on', 'ceiling') → ACCEPTED (A↔B) [simple]
Frame 225: ('music', 'plays_on', 'radio') → ACCEPTED (A↔B) [simple]
Frame 225: ('farmer', 'plants', 'seeds') → ACCEPTED (A↔B) [simple]
Frame 225: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 225: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 226: ('leaf', 'floats_on', 'pond') → ACCEPTED (A↔B) [simple]
Frame 226: ('student', 'solves', 'problem') → REJECTED (A↔B)
Frame 226: ('sun', 'shines_on', 'earth') → REJECTED (A↔B)
Frame 226: ('6', 'divided_by', '3', 'equals', '2') → REJECTED (A↔B)
Frame 226: ('student', 'solves', 'problem') → REJECTED (A↔B)
Frame 227: ('8', 'minus', '6', 'equals', '2') → REJECTED (A↔B)
Frame 227: ('doctor', 'heals', 'patient') → REJECTED (A↔B)
Frame 227: ('9', 'minus', '5', 'equals', '4') → REJECTED (A↔B)
Frame 227: ('6', 'plus', '2', 'equals', '8') → REJECTED (A↔B)
Frame 227: ('bird', 'flies_over', 'mountain') → REJECTED (A↔B)
Frame 228: ('frog', 'leaps_into', 'pond') → ACCEPTED (A↔B) [simple]
Frame 228: ('bus', 'picks_up', 'passengers') → ACCEPTED (A↔B) [simple]
Frame 228: ('music', 'plays_on', 'radio') → ACCEPTED (A↔B) [simple]
Frame 228: ('fox', 'hides_in', 'bush') → ACCEPTED (A↔B) [simple]
Frame 228: ('rocket', 'blasts_into', 'space') → ACCEPTED (A↔B) [simple]
Frame 229: ('sheep', 'eats', 'grass') → ACCEPTED (A↔B) [simple]
Frame 229: ('speaker', 'projects', 'sound') → ACCEPTED (A↔B) [simple]
Frame 229: ('lightning', 'flashes_in', 'sky') → ACCEPTED (A↔B) [simple]
Frame 229: ('seed', 'grows_into', 'plant') → ACCEPTED (A↔B) [simple]
Frame 229: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 230: ('3', 'plus', '2', 'equals', '5') → REJECTED (A↔B)
Frame 230: ('thunder', 'echoes_through', 'mountains') → REJECTED (A↔B)
Frame 230: ('ice', 'melts_on', 'plate') → REJECTED (A↔B)
Frame 230: ('computer', 'processes', 'data') → REJECTED (A↔B)
Frame 230: ('plane', 'flies_above', 'city') → REJECTED (A↔B)
Frame 231: ('fog', 'spreads_over', 'lake') → ACCEPTED (A↔B) [simple]
Frame 231: ('guard', 'protects', 'gate') → ACCEPTED (A↔B) [simple]
Frame 231: ('6', 'plus', '2', 'equals', '8') → REJECTED (A↔B)
Frame 231: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 231: ('tree', 'drops', 'leaves') → REJECTED (A↔B)
Frame 232: ('child', 'draws_on', 'paper') → REJECTED (A↔B)
Frame 232: ('sheep', 'eats', 'grass') → ACCEPTED (A↔B) [simple]
Frame 232: ('child', 'draws_on', 'paper') → REJECTED (A↔B)
Frame 232: ('bird', 'flies_over', 'mountain') → REJECTED (A↔B)
Frame 232: ('fire', 'burns', 'wood') → ACCEPTED (A↔B) [simple]
Frame 233: ('music', 'plays_on', 'radio') → ACCEPTED (A↔B) [simple]
Frame 233: ('bus', 'picks_up', 'passengers') → ACCEPTED (A↔B) [simple]
Frame 233: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 233: ('frog', 'leaps_into', 'pond') → ACCEPTED (A↔B) [simple]
Frame 233: ('drum', 'beats', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 234: ('cloud', 'blocks', 'sun') → REJECTED (A↔B)
Frame 234: ('worker', 'paints', 'house') → REJECTED (A↔B)
Frame 234: ('baby', 'cries_for', 'mother') → ACCEPTED (A↔B) [simple]
Frame 234: ('car', 'stops_at', 'light') → REJECTED (A↔B)
Frame 234: ('camera', 'captures', 'image') → REJECTED (A↔B)
Frame 235: ('eagle', 'spots', 'mouse') → ACCEPTED (A↔B) [simple]
Frame 235: ('clock', 'ticks', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 235: ('drum', 'beats', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 235: ('rocket', 'launches_from', 'pad') → ACCEPTED (A↔B) [simple]
Frame 235: ('drum', 'beats', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 236: ('frog', 'leaps_into', 'pond') → ACCEPTED (A↔B) [simple]
Frame 236: ('child', 'plays_with', 'toy') → REJECTED (A↔B)
Frame 236: ('fan', 'spins_on', 'ceiling') → ACCEPTED (A↔B) [simple]
Frame 236: ('duck', 'swims_with', 'ducklings') → ACCEPTED (A↔B) [simple]
Frame 236: ('8', 'minus', '6', 'equals', '2') → REJECTED (A↔B)
Frame 237: ('engine', 'drives', 'vehicle') → REJECTED (A↔B)
Frame 237: ('fire', 'burns', 'wood') → ACCEPTED (A↔B) [simple]
Frame 237: ('river', 'flows_into', 'ocean') → REJECTED (A↔B)
Frame 237: ('dog', 'guards', 'house') → REJECTED (A↔B)
Frame 237: ('ant', 'crawls_under', 'rock') → REJECTED (A↔B)
Frame 238: ('fan', 'spins_on', 'ceiling') → ACCEPTED (A↔B) [simple]
Frame 238: ('rocket', 'blasts_into', 'space') → ACCEPTED (A↔B) [simple]
Frame 238: ('speaker', 'projects', 'sound') → ACCEPTED (A↔B) [simple]
Frame 238: ('cow', 'produces', 'milk') → ACCEPTED (A↔B) [simple]
Frame 238: ('speaker', 'projects', 'sound') → ACCEPTED (A↔B) [simple]
Frame 239: ('teacher', 'corrects', 'test') → REJECTED (A↔B)
Frame 239: ('rain', 'falls_on', 'roof') → REJECTED (A↔B)
Frame 239: ('child', 'jumps_over', 'log') → REJECTED (A↔B)
Frame 239: ('4', 'plus', '5', 'equals', '9') → REJECTED (A↔B)
Frame 239: ('5', 'minus', '3', 'equals', '2') → REJECTED (A↔B)
Frame 240: ('farmer', 'plants', 'seeds') → ACCEPTED (A↔B) [simple]
Frame 240: ('farmer', 'plants', 'seeds') → ACCEPTED (A↔B) [simple]
Frame 240: ('farmer', 'plants', 'seeds') → ACCEPTED (A↔B) [simple]
Frame 240: ('frog', 'leaps_into', 'pond') → ACCEPTED (A↔B) [simple]
Frame 240: ('lightning', 'flashes_in', 'sky') → ACCEPTED (A↔B) [simple]
Frame 241: ('train', 'leaves_from', 'station') → REJECTED (A↔B)
Frame 241: ('fire', 'crackles', 'in', 'chimney') → ACCEPTED (A↔B) [simple]
Frame 241: ('robot', 'fixes', 'machine') → REJECTED (A↔B)
Frame 241: ('engine', 'drives', 'vehicle') → REJECTED (A↔B)
Frame 241: ('fire', 'burns', 'wood') → ACCEPTED (A↔B) [simple]
Frame 242: ('bus', 'waits_at', 'stop') → REJECTED (A↔B)
Frame 242: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 242: ('fox', 'hides_in', 'bush') → ACCEPTED (A↔B) [simple]
Frame 242: ('sheep', 'eats', 'grass') → ACCEPTED (A↔B) [simple]
Frame 242: ('rocket', 'blasts_into', 'space') → ACCEPTED (A↔B) [simple]
Frame 243: ('eagle', 'spots', 'mouse') → ACCEPTED (A↔B) [simple]
Frame 243: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
Frame 243: ('fire', 'burns', 'wood') → ACCEPTED (A↔B) [simple]
Frame 243: ('fan', 'spins_on', 'ceiling') → ACCEPTED (A↔B) [simple]
Frame 243: ('fan', 'spins_on', 'ceiling') → ACCEPTED (A↔B) [simple]
Frame 244: ('bee', 'lands_on', 'flower') → REJECTED (A↔B)
Frame 244: ('8', 'minus', '6', 'equals', '2') → REJECTED (A↔B)
Frame 244: ('cat', 'scratches', 'couch') → REJECTED (A↔B)
Frame 244: ('drum', 'beats', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 244: ('moon', 'rises_above', 'trees') → REJECTED (A↔B)
Frame 245: ('owl', 'watches_from', 'tree') → REJECTED (A↔B)
Frame 245: ('river', 'flows_into', 'ocean') → REJECTED (A↔B)
Frame 245: ('7', 'plus', '2', 'equals', '9') → REJECTED (A↔B)
Frame 245: ('fog', 'spreads_over', 'lake') → ACCEPTED (A↔B) [simple]
Frame 245: ('child', 'draws_on', 'paper') → REJECTED (A↔B)
Frame 246: ('thunder', 'echoes_through', 'mountains') → REJECTED (A↔B)
Frame 246: ('teacher', 'corrects', 'test') → REJECTED (A↔B)
Frame 246: ('2', 'times', '3', 'equals', '6') → REJECTED (A↔B)
Frame 246: ('car', 'drives_through', 'tunnel') → REJECTED (A↔B)
Frame 246: ('clouds', 'gather_over', 'valley') → REJECTED (A↔B)
Frame 247: ('artist', 'draws', 'picture') → REJECTED (A↔B)
Frame 247: ('10', 'divided_by', '2', 'equals', '5') → REJECTED (A↔B)
Frame 247: ('water', 'fills', 'bottle') → REJECTED (A↔B)
Frame 247: ('8', 'plus', '1', 'equals', '9') → REJECTED (A↔B)
Frame 247: ('cloud', 'covers', 'sky') → REJECTED (A↔B)
Frame 248: ('robot', 'fixes', 'machine') → REJECTED (A↔B)
Frame 248: ('tree', 'drops', 'leaves') → REJECTED (A↔B)
Frame 248: ('flower', 'opens', 'petals') → REJECTED (A↔B)
Frame 248: ('light', 'enters', 'window') → REJECTED (A↔B)
Frame 248: ('ant', 'crawls_under', 'rock') → REJECTED (A↔B)
Frame 249: ('music', 'plays_on', 'radio') → ACCEPTED (A↔B) [simple]
Frame 249: ('fox', 'hides_in', 'bush') → ACCEPTED (A↔B) [simple]
Frame 249: ('leaf', 'floats_on', 'pond') → ACCEPTED (A↔B) [simple]
Frame 249: ('fan', 'spins_on', 'ceiling') → ACCEPTED (A↔B) [simple]
Frame 249: ('drum', 'beats', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 250: ('airplane', 'carries', 'passenger') → ACCEPTED (A↔B) [simple]
Frame 250: ('frog', 'leaps_into', 'pond') → ACCEPTED (A↔B) [simple]
Frame 250: ('eagle', 'spots', 'mouse') → ACCEPTED (A↔B) [simple]
Frame 250: ('drum', 'beats', 'loudly') → ACCEPTED (A↔B) [simple]
Frame 250: ('earthquake', 'shakes', 'city') → ACCEPTED (A↔B) [simple]
