Frame 0: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 657: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 658: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 658: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 658: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 658: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 658: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 659: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 659: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 659: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 659: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 659: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 660: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 660: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 660: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 660: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 660: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 661: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 661: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 661: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 661: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 661: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 662: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 662: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 662: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 662: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 662: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 663: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 663: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 663: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 663: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 663: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 664: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 664: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 664: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 664: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 664: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 665: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 665: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 665: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 665: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 665: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 666: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 666: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 666: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 666: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 666: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 667: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 667: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 667: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 667: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 667: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 668: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 668: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 668: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 668: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 668: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 669: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 669: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 669: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 669: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 669: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 670: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 670: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 670: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 670: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 670: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 671: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 671: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 671: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 671: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 671: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 672: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 672: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 672: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 672: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 672: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 673: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 673: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 673: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 673: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 673: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 674: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 674: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 674: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 674: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 674: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 675: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 675: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 675: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 675: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 675: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 676: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 676: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 676: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 676: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 676: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 677: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 677: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 677: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 677: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 677: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 678: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 678: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 678: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 678: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 678: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 679: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 679: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 679: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 679: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 679: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 680: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 680: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 680: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 680: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 680: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 681: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 681: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 681: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 681: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 681: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 682: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 682: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 682: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 682: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 682: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 683: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 683: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 683: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 683: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 683: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 684: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 684: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 684: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 684: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 684: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 685: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 685: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 685: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 685: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 685: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 686: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 686: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 686: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 686: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 686: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 687: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 687: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 687: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 687: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 687: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 688: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 688: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 688: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 688: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 688: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 689: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 689: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 689: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 689: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 689: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 690: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 690: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 690: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 690: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 690: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 691: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 691: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 691: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 691: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 691: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 692: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 692: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 692: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 692: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 692: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 693: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 693: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 693: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 693: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 693: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 694: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 694: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 694: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 694: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 694: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 695: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 695: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 695: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 695: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 695: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 696: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 696: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 696: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 696: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 696: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 697: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 697: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 697: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 697: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 697: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 698: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 698: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 698: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 698: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 698: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 699: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 699: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 699: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 699: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 699: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 700: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 700: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 700: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 700: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 700: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 701: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 701: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 701: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 701: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 701: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 702: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 702: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 702: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 702: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 702: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 703: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 703: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 703: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 703: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 703: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 704: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 704: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 704: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 704: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 704: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 705: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 705: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 705: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 705: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 705: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 706: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 706: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 706: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 706: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 706: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 707: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 707: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 707: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 707: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 707: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 708: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 708: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 708: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 708: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 708: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 709: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 709: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 709: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 709: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 709: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 710: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 710: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 710: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 710: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 710: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 711: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 711: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 711: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 711: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 711: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 712: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 712: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 712: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 712: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 712: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 713: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 713: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 713: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 713: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 713: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 714: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 714: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 714: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 714: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 714: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 715: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 715: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 715: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 715: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 715: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 716: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 716: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 716: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 716: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 716: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 717: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 717: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 717: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 717: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 717: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 718: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 718: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 718: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 718: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 718: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 719: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 719: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 719: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 719: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 719: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 720: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 720: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 720: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 720: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 720: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 721: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 721: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 721: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 721: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 721: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 722: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 722: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 722: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 722: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 722: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 723: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 723: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 723: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 723: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 723: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 724: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 724: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 724: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 724: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 724: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 725: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 725: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 725: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 725: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 725: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 726: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 726: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 726: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 726: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 726: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 727: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 727: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 727: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 727: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 727: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 728: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 728: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 728: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 728: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 728: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 729: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 729: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 729: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 729: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 729: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 730: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 730: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 730: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 730: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 730: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 731: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 731: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 731: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 731: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 731: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 732: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 732: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 732: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 732: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 732: ('friend', 'helps', 'friend') → REJECTED (A↔B)
Frame 733: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 733: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 733: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 733: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 733: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 734: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 734: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 734: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 734: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 734: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 735: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 735: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 735: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 735: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 735: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 736: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 736: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 736: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 736: ('sun', 'shines', 'earth') → REJECTED (A↔B)
Frame 736: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 737: ('teacher', 'teaches', 'child') → REJECTED (A↔B)
Frame 737: ('dog', 'chases', 'cat') → REJECTED (A↔B)
Frame 737: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 737: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 737: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 738: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 738: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 738: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 738: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 738: ('fish', 'swims', 'river') → REJECTED (A↔B)
Frame 739: ('parent', 'guides', 'child') → REJECTED (A↔B)
Frame 739: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 739: ('cloud', 'covers', 'sun') → REJECTED (A↔B)
Frame 739: ('river', 'flows', 'valley') → REJECTED (A↔B)
Frame 739: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 740: ('child', 'plays', 'dog') → REJECTED (A↔B)
Frame 740: ('bird', 'flies', 'sky') → REJECTED (A↔B)
Frame 740: ('bird', 'flies', 'sky') → REJECTED (A↔B)
