Frame 0: PROPOSED ('afraid', 'bored', 'afraid') ↔ ('ängstlich', 'gelangweilt', 'ängstlich') → REJECTED
Frame 385: PROPOSED ('eat', 'angry', 'through') ↔ ('essen', 'wütend', 'durch') → REJECTED
Frame 386: PROPOSED ('field', 'lamp', 'few') ↔ ('Feld', 'Lampe', 'wenige') → REJECTED
Frame 386: PROPOSED ('table', 'sad', 'few') ↔ ('Tisch', 'traurig', 'wenige') → REJECTED
Frame 387: PROPOSED ('teacher', 'river', 'calm') ↔ ('Lehrer', 'Fluss', 'ruhig') → REJECTED
Frame 387: PROPOSED ('cold', 'one', 'backpack') ↔ ('kalt', 'eins', 'Rucksack') → REJECTED
Frame 388: PROPOSED ('tired', 'chair', 'slow') ↔ ('müde', 'Stuhl', 'langsam') → REJECTED
Frame 388: PROPOSED ('calm', 'two', 'tired') ↔ ('ruhig', 'zwei', 'müde') → REJECTED
Frame 389: PROPOSED ('sleep', 'spoon', 'sleep') ↔ ('schlafen', 'Löffel', 'schlafen') → REJECTED
Frame 389: PROPOSED ('sleep', 'through', 'river') ↔ ('schlafen', 'durch', 'Fluss') → REJECTED
Frame 390: PROPOSED ('learn', 'two', 'dark') ↔ ('lernen', 'zwei', 'dunkel') → REJECTED
Frame 390: PROPOSED ('door', 'boat', 'under') ↔ ('Tür', 'Boot', 'unter') → REJECTED
Frame 391: PROPOSED ('few', 'across', 'teach') ↔ ('wenige', 'über', 'lehren') → REJECTED
Frame 391: PROPOSED ('none', 'few', 'dark') ↔ ('keine', 'wenige', 'dunkel') → REJECTED
Frame 392: PROPOSED ('under', 'swim', 'sad') ↔ ('unter', 'schwimmen', 'traurig') → REJECTED
Frame 392: PROPOSED ('spoon', 'few', 'all') ↔ ('Löffel', 'wenige', 'alle') → REJECTED
Frame 393: PROPOSED ('walk', 'table', 'warm') ↔ ('gehen', 'Tisch', 'warm') → REJECTED
Frame 393: PROPOSED ('dog', 'few', 'dog') ↔ ('Hund', 'wenige', 'Hund') → REJECTED
Frame 394: PROPOSED ('around', 'mountain', 'dog') ↔ ('um', 'Berg', 'Hund') → REJECTED
Frame 394: PROPOSED ('car', 'river', 'sad') ↔ ('Auto', 'Fluss', 'traurig') → REJECTED
Frame 395: PROPOSED ('river', 'few', 'field') ↔ ('Fluss', 'wenige', 'Feld') → REJECTED
Frame 395: PROPOSED ('backpack', 'build', 'none') ↔ ('Rucksack', 'bauen', 'keine') → REJECTED
Frame 396: PROPOSED ('eat', 'learn', 'swim') ↔ ('essen', 'lernen', 'schwimmen') → REJECTED
Frame 396: PROPOSED ('teacher', 'cat', 'slow') ↔ ('Lehrer', 'Katze', 'langsam') → REJECTED
Frame 397: PROPOSED ('child', 'artist', 'safe') ↔ ('Kind', 'Künstler', 'sicher') → REJECTED
Frame 397: PROPOSED ('fast', 'many', 'afraid') ↔ ('schnell', 'viele', 'ängstlich') → REJECTED
Frame 398: PROPOSED ('around', 'fly', 'safe') ↔ ('um', 'fliegen', 'sicher') → REJECTED
Frame 398: PROPOSED ('fast', 'one', 'computer') ↔ ('schnell', 'eins', 'Computer') → REJECTED
Frame 399: PROPOSED ('some', 'computer', 'child') ↔ ('einige', 'Computer', 'Kind') → REJECTED
Frame 399: PROPOSED ('tired', 'fast', 'city') ↔ ('müde', 'schnell', 'Stadt') → REJECTED
Frame 400: PROPOSED ('lamp', 'many', 'near') ↔ ('Lampe', 'viele', 'nahe') → REJECTED
Frame 400: PROPOSED ('afraid', 'two', 'bright') ↔ ('ängstlich', 'zwei', 'hell') → REJECTED
Frame 401: PROPOSED ('through', 'walk', 'afraid') ↔ ('durch', 'gehen', 'ängstlich') → REJECTED
Frame 401: PROPOSED ('computer', 'all', 'walk') ↔ ('Computer', 'alle', 'gehen') → REJECTED
Frame 402: PROPOSED ('learn', 'eat', 'boat') ↔ ('lernen', 'essen', 'Boot') → REJECTED
Frame 402: PROPOSED ('many', 'angry', 'mountain') ↔ ('viele', 'wütend', 'Berg') → REJECTED
Frame 403: PROPOSED ('one', 'boat', 'angry') ↔ ('eins', 'Boot', 'wütend') → REJECTED
Frame 403: PROPOSED ('sleep', 'under', 'chair') ↔ ('schlafen', 'unter', 'Stuhl') → REJECTED
Frame 404: PROPOSED ('all', 'afraid', 'many') ↔ ('alle', 'ängstlich', 'viele') → REJECTED
Frame 404: PROPOSED ('under', 'under', 'table') ↔ ('unter', 'unter', 'Tisch') → REJECTED
Frame 405: PROPOSED ('learn', 'run', 'under') ↔ ('lernen', 'laufen', 'unter') → REJECTED
Frame 405: PROPOSED ('mountain', 'sleep', 'under') ↔ ('Berg', 'schlafen', 'unter') → REJECTED
Frame 406: PROPOSED ('artist', 'lamp', 'lamp') ↔ ('Künstler', 'Lampe', 'Lampe') → REJECTED
Frame 406: PROPOSED ('spoon', 'artist', 'learn') ↔ ('Löffel', 'Künstler', 'lernen') → REJECTED
Frame 407: PROPOSED ('beside', 'learn', 'walk') ↔ ('neben', 'lernen', 'gehen') → REJECTED
Frame 407: PROPOSED ('field', 'mountain', 'small') ↔ ('Feld', 'Berg', 'klein') → REJECTED
Frame 408: PROPOSED ('angry', 'swim', 'slow') ↔ ('wütend', 'schwimmen', 'langsam') → REJECTED
Frame 408: PROPOSED ('door', 'walk', 'two') ↔ ('Tür', 'gehen', 'zwei') → REJECTED
Frame 409: PROPOSED ('small', 'river', 'house') ↔ ('klein', 'Fluss', 'Haus') → REJECTED
Frame 409: PROPOSED ('cold', 'under', 'chair') ↔ ('kalt', 'unter', 'Stuhl') → REJECTED
Frame 410: PROPOSED ('fly', 'slow', 'two') ↔ ('fliegen', 'langsam', 'zwei') → REJECTED
Frame 410: PROPOSED ('river', 'calm', 'field') ↔ ('Fluss', 'ruhig', 'Feld') → REJECTED
Frame 411: PROPOSED ('some', 'learn', 'river') ↔ ('einige', 'lernen', 'Fluss') → REJECTED
Frame 411: PROPOSED ('teacher', 'mountain', 'mountain') ↔ ('Lehrer', 'Berg', 'Berg') → REJECTED
Frame 412: PROPOSED ('bright', 'none', 'learn') ↔ ('hell', 'keine', 'lernen') → REJECTED
Frame 412: PROPOSED ('under', 'field', 'cat') ↔ ('unter', 'Feld', 'Katze') → REJECTED
Frame 413: PROPOSED ('afraid', 'small', 'house') ↔ ('ängstlich', 'klein', 'Haus') → REJECTED
Frame 413: PROPOSED ('two', 'one', 'dog') ↔ ('zwei', 'eins', 'Hund') → REJECTED
Frame 414: PROPOSED ('angry', 'teacher', 'many') ↔ ('wütend', 'Lehrer', 'viele') → REJECTED
Frame 414: PROPOSED ('lamp', 'sleep', 'house') ↔ ('Lampe', 'schlafen', 'Haus') → REJECTED
Frame 415: PROPOSED ('all', 'spoon', 'afraid') ↔ ('alle', 'Löffel', 'ängstlich') → REJECTED
Frame 415: PROPOSED ('door', 'bright', 'dog') ↔ ('Tür', 'hell', 'Hund') → REJECTED
Frame 416: PROPOSED ('happy', 'some', 'safe') ↔ ('glücklich', 'einige', 'sicher') → REJECTED
Frame 416: PROPOSED ('under', 'small', 'big') ↔ ('unter', 'klein', 'groß') → REJECTED
Frame 417: PROPOSED ('chair', 'door', 'tired') ↔ ('Stuhl', 'Tür', 'müde') → REJECTED
Frame 417: PROPOSED ('none', 'under', 'through') ↔ ('keine', 'unter', 'durch') → REJECTED
Frame 418: PROPOSED ('over', 'mountain', 'cold') ↔ ('über', 'Berg', 'kalt') → REJECTED
Frame 418: PROPOSED ('build', 'dog', 'lamp') ↔ ('bauen', 'Hund', 'Lampe') → REJECTED
Frame 419: PROPOSED ('all', 'beside', 'under') ↔ ('alle', 'neben', 'unter') → REJECTED
Frame 419: PROPOSED ('big', 'computer', 'bright') ↔ ('groß', 'Computer', 'hell') → REJECTED
Frame 420: PROPOSED ('cold', 'angry', 'backpack') ↔ ('kalt', 'wütend', 'Rucksack') → REJECTED
Frame 420: PROPOSED ('spoon', 'few', 'jump') ↔ ('Löffel', 'wenige', 'springen') → REJECTED
Frame 421: PROPOSED ('door', 'artist', 'one') ↔ ('Tür', 'Künstler', 'eins') → REJECTED
Frame 421: PROPOSED ('two', 'child', 'tree') ↔ ('zwei', 'Kind', 'Baum') → REJECTED
Frame 422: PROPOSED ('cold', 'tired', 'spoon') ↔ ('kalt', 'müde', 'Löffel') → REJECTED
Frame 422: PROPOSED ('child', 'around', 'boat') ↔ ('Kind', 'um', 'Boot') → REJECTED
Frame 423: PROPOSED ('near', 'under', 'eat') ↔ ('nahe', 'unter', 'essen') → REJECTED
Frame 423: PROPOSED ('two', 'swim', 'walk') ↔ ('zwei', 'schwimmen', 'gehen') → REJECTED
Frame 424: PROPOSED ('warm', 'teacher', 'lamp') ↔ ('warm', 'Lehrer', 'Lampe') → REJECTED
Frame 424: PROPOSED ('many', 'swim', 'jump') ↔ ('viele', 'schwimmen', 'springen') → REJECTED
Frame 425: PROPOSED ('all', 'lamp', 'afraid') ↔ ('alle', 'Lampe', 'ängstlich') → REJECTED
Frame 425: PROPOSED ('river', 'one', 'all') ↔ ('Fluss', 'eins', 'alle') → REJECTED
Frame 426: PROPOSED ('backpack', 'small', 'child') ↔ ('Rucksack', 'klein', 'Kind') → REJECTED
Frame 426: PROPOSED ('bored', 'one', 'field') ↔ ('gelangweilt', 'eins', 'Feld') → REJECTED
Frame 427: PROPOSED ('across', 'swim', 'city') ↔ ('über', 'schwimmen', 'Stadt') → REJECTED
Frame 427: PROPOSED ('teacher', 'swim', 'cat') ↔ ('Lehrer', 'schwimmen', 'Katze') → REJECTED
Frame 428: PROPOSED ('none', 'dark', 'teach') ↔ ('keine', 'dunkel', 'lehren') → REJECTED
Frame 428: PROPOSED ('small', 'lamp', 'mountain') ↔ ('klein', 'Lampe', 'Berg') → REJECTED
Frame 429: PROPOSED ('over', 'cold', 'two') ↔ ('über', 'kalt', 'zwei') → REJECTED
Frame 429: PROPOSED ('jump', 'small', 'cold') ↔ ('springen', 'klein', 'kalt') → REJECTED
Frame 430: PROPOSED ('around', 'through', 'field') ↔ ('um', 'durch', 'Feld') → REJECTED
Frame 430: PROPOSED ('cat', 'teacher', 'spoon') ↔ ('Katze', 'Lehrer', 'Löffel') → REJECTED
Frame 431: PROPOSED ('artist', 'spoon', 'over') ↔ ('Künstler', 'Löffel', 'über') → REJECTED
Frame 431: PROPOSED ('none', 'teacher', 'door') ↔ ('keine', 'Lehrer', 'Tür') → REJECTED
Frame 432: PROPOSED ('computer', 'fly', 'through') ↔ ('Computer', 'fliegen', 'durch') → REJECTED
Frame 432: PROPOSED ('two', 'many', 'sad') ↔ ('zwei', 'viele', 'traurig') → REJECTED
Frame 433: PROPOSED ('boat', 'safe', 'few') ↔ ('Boot', 'sicher', 'wenige') → REJECTED
Frame 433: PROPOSED ('excited', 'excited', 'cold') ↔ ('aufgeregt', 'aufgeregt', 'kalt') → REJECTED
Frame 434: PROPOSED ('house', 'across', 'dark') ↔ ('Haus', 'über', 'dunkel') → REJECTED
Frame 434: PROPOSED ('build', 'angry', 'mountain') ↔ ('bauen', 'wütend', 'Berg') → REJECTED
Frame 435: PROPOSED ('teacher', 'across', 'house') ↔ ('Lehrer', 'über', 'Haus') → REJECTED
Frame 435: PROPOSED ('small', 'two', 'cat') ↔ ('klein', 'zwei', 'Katze') → REJECTED
Frame 436: PROPOSED ('big', 'calm', 'calm') ↔ ('groß', 'ruhig', 'ruhig') → REJECTED
Frame 436: PROPOSED ('slow', 'teacher', 'teach') ↔ ('langsam', 'Lehrer', 'lehren') → REJECTED
Frame 437: PROPOSED ('all', 'two', 'city') ↔ ('alle', 'zwei', 'Stadt') → REJECTED
Frame 437: PROPOSED ('dog', 'walk', 'one') ↔ ('Hund', 'gehen', 'eins') → REJECTED
Frame 438: PROPOSED ('artist', 'afraid', 'jump') ↔ ('Künstler', 'ängstlich', 'springen') → REJECTED
Frame 438: PROPOSED ('beside', 'over', 'river') ↔ ('neben', 'über', 'Fluss') → REJECTED
Frame 439: PROPOSED ('boat', 'slow', 'run') ↔ ('Boot', 'langsam', 'laufen') → REJECTED
Frame 439: PROPOSED ('around', 'dark', 'mountain') ↔ ('um', 'dunkel', 'Berg') → REJECTED
Frame 440: PROPOSED ('beside', 'beside', 'river') ↔ ('neben', 'neben', 'Fluss') → REJECTED
Frame 440: PROPOSED ('computer', 'small', 'fast') ↔ ('Computer', 'klein', 'schnell') → REJECTED
Frame 441: PROPOSED ('through', 'slow', 'build') ↔ ('durch', 'langsam', 'bauen') → REJECTED
Frame 441: PROPOSED ('mountain', 'through', 'swim') ↔ ('Berg', 'durch', 'schwimmen') → REJECTED
Frame 442: PROPOSED ('chair', 'spoon', 'through') ↔ ('Stuhl', 'Löffel', 'durch') → REJECTED
Frame 442: PROPOSED ('around', 'across', 'few') ↔ ('um', 'über', 'wenige') → REJECTED
Frame 443: PROPOSED ('door', 'table', 'computer') ↔ ('Tür', 'Tisch', 'Computer') → REJECTED
Frame 443: PROPOSED ('few', 'bright', 'cold') ↔ ('wenige', 'hell', 'kalt') → REJECTED
Frame 444: PROPOSED ('city', 'table', 'around') ↔ ('Stadt', 'Tisch', 'um') → REJECTED
Frame 444: PROPOSED ('over', 'fly', 'near') ↔ ('über', 'fliegen', 'nahe') → REJECTED
Frame 445: PROPOSED ('teacher', 'dark', 'walk') ↔ ('Lehrer', 'dunkel', 'gehen') → REJECTED
Frame 445: PROPOSED ('spoon', 'mountain', 'computer') ↔ ('Löffel', 'Berg', 'Computer') → REJECTED
Frame 446: PROPOSED ('sleep', 'house', 'near') ↔ ('schlafen', 'Haus', 'nahe') → REJECTED
Frame 446: PROPOSED ('car', 'run', 'all') ↔ ('Auto', 'laufen', 'alle') → REJECTED
Frame 447: PROPOSED ('tree', 'warm', 'run') ↔ ('Baum', 'warm', 'laufen') → REJECTED
Frame 447: PROPOSED ('field', 'teach', 'angry') ↔ ('Feld', 'lehren', 'wütend') → REJECTED
Frame 448: PROPOSED ('dark', 'teacher', 'city') ↔ ('dunkel', 'Lehrer', 'Stadt') → REJECTED
Frame 448: PROPOSED ('river', 'over', 'tired') ↔ ('Fluss', 'über', 'müde') → REJECTED
Frame 449: PROPOSED ('one', 'slow', 'lamp') ↔ ('eins', 'langsam', 'Lampe') → REJECTED
Frame 449: PROPOSED ('under', 'run', 'cat') ↔ ('unter', 'laufen', 'Katze') → REJECTED
Frame 450: PROPOSED ('bored', 'small', 'child') ↔ ('gelangweilt', 'klein', 'Kind') → REJECTED
Frame 450: PROPOSED ('dog', 'dog', 'walk') ↔ ('Hund', 'Hund', 'gehen') → REJECTED
Frame 451: PROPOSED ('angry', 'child', 'some') ↔ ('wütend', 'Kind', 'einige') → REJECTED
Frame 451: PROPOSED ('two', 'dark', 'bored') ↔ ('zwei', 'dunkel', 'gelangweilt') → REJECTED
Frame 452: PROPOSED ('eat', 'car', 'all') ↔ ('essen', 'Auto', 'alle') → REJECTED
Frame 452: PROPOSED ('through', 'over', 'under') ↔ ('durch', 'über', 'unter') → REJECTED
Frame 453: PROPOSED ('big', 'all', 'city') ↔ ('groß', 'alle', 'Stadt') → REJECTED
Frame 453: PROPOSED ('fly', 'house', 'one') ↔ ('fliegen', 'Haus', 'eins') → REJECTED
Frame 454: PROPOSED ('sleep', 'sad', 'field') ↔ ('schlafen', 'traurig', 'Feld') → REJECTED
Frame 454: PROPOSED ('car', 'teach', 'safe') ↔ ('Auto', 'lehren', 'sicher') → REJECTED
Frame 455: PROPOSED ('walk', 'slow', 'all') ↔ ('gehen', 'langsam', 'alle') → REJECTED
Frame 455: PROPOSED ('teacher', 'fast', 'walk') ↔ ('Lehrer', 'schnell', 'gehen') → REJECTED
Frame 456: PROPOSED ('some', 'small', 'slow') ↔ ('einige', 'klein', 'langsam') → REJECTED
Frame 456: PROPOSED ('safe', 'child', 'one') ↔ ('sicher', 'Kind', 'eins') → REJECTED
Frame 457: PROPOSED ('beside', 'over', 'jump') ↔ ('neben', 'über', 'springen') → REJECTED
Frame 457: PROPOSED ('backpack', 'car', 'dog') ↔ ('Rucksack', 'Auto', 'Hund') → REJECTED
Frame 458: PROPOSED ('warm', 'teach', 'swim') ↔ ('warm', 'lehren', 'schwimmen') → REJECTED
Frame 458: PROPOSED ('computer', 'sad', 'river') ↔ ('Computer', 'traurig', 'Fluss') → REJECTED
Frame 459: PROPOSED ('slow', 'tree', 'excited') ↔ ('langsam', 'Baum', 'aufgeregt') → REJECTED
Frame 459: PROPOSED ('near', 'cold', 'happy') ↔ ('nahe', 'kalt', 'glücklich') → REJECTED
Frame 460: PROPOSED ('build', 'boat', 'under') ↔ ('bauen', 'Boot', 'unter') → REJECTED
Frame 460: PROPOSED ('one', 'many', 'fly') ↔ ('eins', 'viele', 'fliegen') → REJECTED
Frame 461: PROPOSED ('sleep', 'artist', 'swim') ↔ ('schlafen', 'Künstler', 'schwimmen') → REJECTED
Frame 461: PROPOSED ('computer', 'over', 'house') ↔ ('Computer', 'über', 'Haus') → REJECTED
Frame 462: PROPOSED ('few', 'tired', 'calm') ↔ ('wenige', 'müde', 'ruhig') → REJECTED
Frame 462: PROPOSED ('big', 'small', 'walk') ↔ ('groß', 'klein', 'gehen') → REJECTED
Frame 463: PROPOSED ('run', 'many', 'angry') ↔ ('laufen', 'viele', 'wütend') → REJECTED
Frame 463: PROPOSED ('teacher', 'artist', 'two') ↔ ('Lehrer', 'Künstler', 'zwei') → REJECTED
Frame 464: PROPOSED ('tree', 'eat', 'fly') ↔ ('Baum', 'essen', 'fliegen') → REJECTED
Frame 464: PROPOSED ('chair', 'learn', 'spoon') ↔ ('Stuhl', 'lernen', 'Löffel') → REJECTED
Frame 465: PROPOSED ('slow', 'through', 'bored') ↔ ('langsam', 'durch', 'gelangweilt') → REJECTED
Frame 465: PROPOSED ('near', 'boat', 'teacher') ↔ ('nahe', 'Boot', 'Lehrer') → REJECTED
Frame 466: PROPOSED ('river', 'across', 'artist') ↔ ('Fluss', 'über', 'Künstler') → REJECTED
Frame 466: PROPOSED ('angry', 'cold', 'walk') ↔ ('wütend', 'kalt', 'gehen') → REJECTED
Frame 467: PROPOSED ('run', 'over', 'cat') ↔ ('laufen', 'über', 'Katze') → REJECTED
Frame 467: PROPOSED ('small', 'happy', 'computer') ↔ ('klein', 'glücklich', 'Computer') → REJECTED
Frame 468: PROPOSED ('mountain', 'afraid', 'teach') ↔ ('Berg', 'ängstlich', 'lehren') → REJECTED
Frame 468: PROPOSED ('none', 'field', 'dark') ↔ ('keine', 'Feld', 'dunkel') → REJECTED
Frame 469: PROPOSED ('dark', 'table', 'car') ↔ ('dunkel', 'Tisch', 'Auto') → REJECTED
Frame 469: PROPOSED ('swim', 'across', 'few') ↔ ('schwimmen', 'über', 'wenige') → REJECTED
Frame 470: PROPOSED ('afraid', 'table', 'build') ↔ ('ängstlich', 'Tisch', 'bauen') → REJECTED
Frame 470: PROPOSED ('under', 'computer', 'table') ↔ ('unter', 'Computer', 'Tisch') → REJECTED
Frame 471: PROPOSED ('build', 'river', 'teach') ↔ ('bauen', 'Fluss', 'lehren') → REJECTED
Frame 471: PROPOSED ('across', 'car', 'excited') ↔ ('über', 'Auto', 'aufgeregt') → REJECTED
Frame 472: PROPOSED ('swim', 'lamp', 'afraid') ↔ ('schwimmen', 'Lampe', 'ängstlich') → REJECTED
Frame 472: PROPOSED ('build', 'mountain', 'big') ↔ ('bauen', 'Berg', 'groß') → REJECTED
Frame 473: PROPOSED ('dark', 'small', 'artist') ↔ ('dunkel', 'klein', 'Künstler') → REJECTED
Frame 473: PROPOSED ('bored', 'chair', 'house') ↔ ('gelangweilt', 'Stuhl', 'Haus') → REJECTED
Frame 474: PROPOSED ('fly', 'angry', 'slow') ↔ ('fliegen', 'wütend', 'langsam') → REJECTED
Frame 474: PROPOSED ('boat', 'walk', 'lamp') ↔ ('Boot', 'gehen', 'Lampe') → REJECTED
Frame 475: PROPOSED ('tree', 'city', 'boat') ↔ ('Baum', 'Stadt', 'Boot') → REJECTED
Frame 475: PROPOSED ('none', 'swim', 'one') ↔ ('keine', 'schwimmen', 'eins') → REJECTED
Frame 476: PROPOSED ('backpack', 'sleep', 'swim') ↔ ('Rucksack', 'schlafen', 'schwimmen') → REJECTED
Frame 476: PROPOSED ('spoon', 'city', 'teacher') ↔ ('Löffel', 'Stadt', 'Lehrer') → REJECTED
Frame 477: PROPOSED ('all', 'bright', 'artist') ↔ ('alle', 'hell', 'Künstler') → REJECTED
Frame 477: PROPOSED ('sleep', 'city', 'computer') ↔ ('schlafen', 'Stadt', 'Computer') → REJECTED
Frame 478: PROPOSED ('tired', 'boat', 'boat') ↔ ('müde', 'Boot', 'Boot') → REJECTED
Frame 478: PROPOSED ('car', 'run', 'near') ↔ ('Auto', 'laufen', 'nahe') → REJECTED
Frame 479: PROPOSED ('spoon', 'build', 'bored') ↔ ('Löffel', 'bauen', 'gelangweilt') → REJECTED
Frame 479: PROPOSED ('eat', 'fast', 'run') ↔ ('essen', 'schnell', 'laufen') → REJECTED
Frame 480: PROPOSED ('over', 'over', 'one') ↔ ('über', 'über', 'eins') → REJECTED
Frame 480: PROPOSED ('safe', 'slow', 'afraid') ↔ ('sicher', 'langsam', 'ängstlich') → REJECTED
Frame 481: PROPOSED ('run', 'bright', 'warm') ↔ ('laufen', 'hell', 'warm') → REJECTED
Frame 481: PROPOSED ('tired', 'build', 'child') ↔ ('müde', 'bauen', 'Kind') → REJECTED
Frame 482: PROPOSED ('car', 'tired', 'sad') ↔ ('Auto', 'müde', 'traurig') → REJECTED
Frame 482: PROPOSED ('small', 'excited', 'fly') ↔ ('klein', 'aufgeregt', 'fliegen') → REJECTED
Frame 483: PROPOSED ('dark', 'big', 'around') ↔ ('dunkel', 'groß', 'um') → REJECTED
Frame 483: PROPOSED ('boat', 'sleep', 'dog') ↔ ('Boot', 'schlafen', 'Hund') → REJECTED
Frame 484: PROPOSED ('none', 'chair', 'across') ↔ ('keine', 'Stuhl', 'über') → REJECTED
Frame 484: PROPOSED ('excited', 'teach', 'teach') ↔ ('aufgeregt', 'lehren', 'lehren') → REJECTED
Frame 485: PROPOSED ('table', 'chair', 'dark') ↔ ('Tisch', 'Stuhl', 'dunkel') → REJECTED
Frame 485: PROPOSED ('build', 'afraid', 'angry') ↔ ('bauen', 'ängstlich', 'wütend') → REJECTED
Frame 486: PROPOSED ('dark', 'safe', 'house') ↔ ('dunkel', 'sicher', 'Haus') → REJECTED
Frame 486: PROPOSED ('calm', 'bright', 'afraid') ↔ ('ruhig', 'hell', 'ängstlich') → REJECTED
Frame 487: PROPOSED ('dog', 'car', 'teacher') ↔ ('Hund', 'Auto', 'Lehrer') → REJECTED
Frame 487: PROPOSED ('teacher', 'big', 'none') ↔ ('Lehrer', 'groß', 'keine') → REJECTED
Frame 488: PROPOSED ('under', 'happy', 'teacher') ↔ ('unter', 'glücklich', 'Lehrer') → REJECTED
Frame 488: PROPOSED ('chair', 'sad', 'door') ↔ ('Stuhl', 'traurig', 'Tür') → REJECTED
Frame 489: PROPOSED ('big', 'through', 'through') ↔ ('groß', 'durch', 'durch') → REJECTED
Frame 489: PROPOSED ('all', 'beside', 'river') ↔ ('alle', 'neben', 'Fluss') → REJECTED
Frame 490: PROPOSED ('field', 'small', 'teach') ↔ ('Feld', 'klein', 'lehren') → REJECTED
Frame 490: PROPOSED ('child', 'warm', 'near') ↔ ('Kind', 'warm', 'nahe') → REJECTED
Frame 491: PROPOSED ('dog', 'all', 'none') ↔ ('Hund', 'alle', 'keine') → REJECTED
Frame 491: PROPOSED ('car', 'safe', 'fly') ↔ ('Auto', 'sicher', 'fliegen') → REJECTED
Frame 492: PROPOSED ('city', 'backpack', 'eat') ↔ ('Stadt', 'Rucksack', 'essen') → REJECTED
Frame 492: PROPOSED ('teach', 'two', 'child') ↔ ('lehren', 'zwei', 'Kind') → REJECTED
Frame 493: PROPOSED ('cat', 'big', 'many') ↔ ('Katze', 'groß', 'viele') → REJECTED
Frame 493: PROPOSED ('jump', 'run', 'some') ↔ ('springen', 'laufen', 'einige') → REJECTED
Frame 494: PROPOSED ('boat', 'tired', 'bright') ↔ ('Boot', 'müde', 'hell') → REJECTED
Frame 494: PROPOSED ('across', 'dark', 'cat') ↔ ('über', 'dunkel', 'Katze') → REJECTED
Frame 495: PROPOSED ('boat', 'boat', 'under') ↔ ('Boot', 'Boot', 'unter') → REJECTED
Frame 495: PROPOSED ('city', 'excited', 'some') ↔ ('Stadt', 'aufgeregt', 'einige') → REJECTED
Frame 496: PROPOSED ('door', 'walk', 'over') ↔ ('Tür', 'gehen', 'über') → REJECTED
Frame 496: PROPOSED ('excited', 'tree', 'one') ↔ ('aufgeregt', 'Baum', 'eins') → REJECTED
Frame 497: PROPOSED ('boat', 'some', 'one') ↔ ('Boot', 'einige', 'eins') → REJECTED
Frame 497: PROPOSED ('dog', 'excited', 'one') ↔ ('Hund', 'aufgeregt', 'eins') → REJECTED
Frame 498: PROPOSED ('mountain', 'lamp', 'afraid') ↔ ('Berg', 'Lampe', 'ängstlich') → REJECTED
Frame 498: PROPOSED ('all', 'spoon', 'sad') ↔ ('alle', 'Löffel', 'traurig') → REJECTED
Frame 499: PROPOSED ('teacher', 'eat', 'chair') ↔ ('Lehrer', 'essen', 'Stuhl') → ACCEPTED
Frame 499: PROPOSED ('near', 'sleep', 'all') ↔ ('nahe', 'schlafen', 'alle') → REJECTED
Frame 500: PROPOSED ('safe', 'slow', 'cold') ↔ ('sicher', 'langsam', 'kalt') → REJECTED
Frame 500: PROPOSED ('bright', 'over', 'fly') ↔ ('hell', 'über', 'fliegen') → REJECTED
Frame 501: PROPOSED ('over', 'few', 'child') ↔ ('über', 'wenige', 'Kind') → REJECTED
Frame 501: PROPOSED ('slow', 'bored', 'spoon') ↔ ('langsam', 'gelangweilt', 'Löffel') → REJECTED
Frame 502: PROPOSED ('across', 'angry', 'artist') ↔ ('über', 'wütend', 'Künstler') → REJECTED
Frame 502: PROPOSED ('happy', 'safe', 'calm') ↔ ('glücklich', 'sicher', 'ruhig') → REJECTED
Frame 503: PROPOSED ('few', 'tree', 'bored') ↔ ('wenige', 'Baum', 'gelangweilt') → REJECTED
Frame 503: PROPOSED ('artist', 'computer', 'lamp') ↔ ('Künstler', 'Computer', 'Lampe') → REJECTED
Frame 504: PROPOSED ('tree', 'boat', 'slow') ↔ ('Baum', 'Boot', 'langsam') → REJECTED
Frame 504: PROPOSED ('teacher', 'tree', 'tree') ↔ ('Lehrer', 'Baum', 'Baum') → REJECTED
Frame 505: PROPOSED ('walk', 'two', 'warm') ↔ ('gehen', 'zwei', 'warm') → REJECTED
Frame 505: PROPOSED ('some', 'mountain', 'warm') ↔ ('einige', 'Berg', 'warm') → REJECTED
Frame 506: PROPOSED ('some', 'under', 'fly') ↔ ('einige', 'unter', 'fliegen') → REJECTED
Frame 506: PROPOSED ('city', 'spoon', 'teach') ↔ ('Stadt', 'Löffel', 'lehren') → REJECTED
Frame 507: PROPOSED ('cold', 'computer', 'two') ↔ ('kalt', 'Computer', 'zwei') → REJECTED
Frame 507: PROPOSED ('big', 'across', 'safe') ↔ ('groß', 'über', 'sicher') → REJECTED
Frame 508: PROPOSED ('near', 'dark', 'excited') ↔ ('nahe', 'dunkel', 'aufgeregt') → REJECTED
Frame 508: PROPOSED ('all', 'fly', 'near') ↔ ('alle', 'fliegen', 'nahe') → REJECTED
Frame 509: PROPOSED ('across', 'near', 'build') ↔ ('über', 'nahe', 'bauen') → REJECTED
Frame 509: PROPOSED ('table', 'backpack', 'afraid') ↔ ('Tisch', 'Rucksack', 'ängstlich') → REJECTED
Frame 510: PROPOSED ('sleep', 'happy', 'few') ↔ ('schlafen', 'glücklich', 'wenige') → REJECTED
Frame 510: PROPOSED ('chair', 'sleep', 'artist') ↔ ('Stuhl', 'schlafen', 'Künstler') → REJECTED
